,Title,Company,Location,Salary,Snippet,Job_Type
37,Team Manager (For a Travel Program - with GDS experience),Enshored Inc.,Remote in Pasig,"PHP 55,000 - PHP 60,000 a month",Enshored is seeking an outstanding Team Captain for the Travel program who will be a role model to his/her direct reports.,manager
38,Store Manager,Adidas,Manila,,Drives store profitability by meeting or exceeding sales targets and controlling operational expenses; managing all resources within the store to provide…,manager
39,OPERATION MANAGER,1016 Formula Petroleum Corporation,Manila,"PHP 30,000 - PHP 40,000 a month",Responsible for supervising the distribution processes and overseeing the supply chain management to ensure that the deliveries are done timely and accurately.,manager
40,Area Manager,Fruitas Holdings Inc,Quezon City,,Lead a team of store managers towards effective collaboration and attainment of goals.,manager
41,Duty Airport Manager Manila,Qantas Airways Limited,Manila,,Together we’ll achieve goals and objectives.,manager
42,OPERATIONS MANAGER,Kings Group of Companies,"Makati
+1 location","PHP 50,000 - PHP 55,000 a month","Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.",manager
43,Outlet Manager (Raging Bull Chophouse and Bar) (145338),Shangri-La Hotels,Manila,,The new hotel complements the company’s five existing properties in the Philippines.,manager
44,Operations Manager,Filpride Resources Inc.,Pasig,"PHP 40,000 - PHP 70,000 a month","Responsible in monitoring of Logistics, Terminal and Transport Operations.",manager
45,Lead Customer Success Representative,Wells Fargo,Manila,,Support and assist in the administration of teams that receive customer inquiries and issues through a variety of channels.,manager
46,ASST. LOBBY MANAGER,The Landmark Makati,Makati,"PHP 30,000 - PHP 40,000 a month",Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,manager
47,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,"PHP 24,000 a month",Oversee and direct operations at several locations within your assigned area.,manager
48,Operation Manager,Formula Oil Corporation,Manila,"PHP 30,000 - PHP 40,000 a month",Responsible for supervising the distribution processes and overseeing the supply chain management to ensure that the deliveries are done timely and accurately.,manager
49,Logistics Manager,Brother International Philippines Corporation,Temporarily Remote in Taguig,"PHP 90,000 - PHP 100,000 a month","Her/his responsibilities include, but not limited to, importation, inventory and vendor management.",manager
50,Retail Operations Manager,Apollo Drugstore,Pasay,"PHP 35,000 - PHP 45,000 a month",The *RETAIL OPERATIONS MANAGER* is responsible for the results and performance of our Regional Drugstores.,manager
51,Order Management Team Lead,EMAPTA for General,Remote in Pasig,"PHP 40,000 - PHP 55,000 a month","The Customer Service Coordinator & Team Leader is responsible for order processing, warranty claims, attending to customer inquiries, and troubleshooting supply…",manager
52,Shift Manager,Popeyes Philippines,"Pasay
+1 location","PHP 18,000 - PHP 22,000 a month",The Shift Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc. standards around…,manager
53,ADMIN MANAGER (URGENT),Onward Worldwide Management & Consultancy,Makati,"PHP 40,000 - PHP 50,000 a month",Analyse Admin situations from basic to complex and resolve issues and challenges beyond reproach in constant alignment and coordination with the Senior HR and…,manager
54,OPERATIONS MANAGER (Food & Bev Industry),Career Purveyors Co.,Alabang,"PHP 25,000 - PHP 35,000 a month","Day-to-day management of the restaurant operations, including administrative oversight of the brewery, commissary and logistic operations.",manager
55,Key Accounts Manager,Sigma Dynamics and Professionals Placement Agency,Quezon City,"PHP 40,000 - PHP 50,000 a month","The Key Account Manager will be responsible for developing, maintaining and expanding profitable partnership with significant retailers within the assigned…",manager
56,Operations Manager,Scentsmith Perfumery Inc,Manila,"PHP 50,000 a month","Communicate with other functional/departmental managers so as to understand all necessary aspects and needs of operational development, and to ensure they are…",manager
57,Project Manager,Landers Superstore,Manila,"PHP 30,000 - PHP 35,000 a month",Project Manager in planning and executing building construction and renovation projects.,manager
58,Restaurant Manager,Popeyes Philippines,"Makati
+4 locations","PHP 30,000 - PHP 35,000 a month",Proven customer service experience as a manager.,manager
59,Area Sales Manager,"Boosterfoods, Inc.",Pasig,"PHP 35,000 - PHP 60,000 a month","He/She is responsible for the operational activities of the sales group, development and implementation of sales campaign, monitoring performance of group, and…",manager
60,Operations Manager - Customer Service Center,EverLighten,Remote in Manila,,We help thousands of corporates like Google and Microsoft create innovative and inspirational corporate gifts and promotional items.,manager
61,Welfare & Wellbeing Manager,TaskUs,"Quezon City
+1 location",,Company’s environmental health and safety strategies by designing and.,manager
62,15 - Lead Generation - Marketing (Homebased),Support Shepherd,Remote in Manila,"PHP 40,000 - PHP 50,000 a month",Email a set number of customers each week - we will increase or decrease according to.,manager
63,Shift Manager,Golden Donuts Inc.,"Quezon City
+3 locations","PHP 16,000 - PHP 17,000 a month",>Bachelor's of Science in Hotel &Restaurant Management or any 4 year business related course.,manager
64,Territory Manager - Philippines,Shell,Manila,,If you’re a Territory Manager who’s gained some valuable experience in leading and managing the retailers and ensuring the consistency of the customer…,manager
65,STORE MANAGER (Food & Bev Industry),Career Purveyors Co.,Parañaque,"PHP 22,000 - PHP 25,000 a month",Supporting managers with various tasks.,manager
66,Operations Manager (Temporary work from home set-up until fu...,JK Network Services,Temporarily Remote in Quezon City,"PHP 70,000 - PHP 80,000 a month",Atleast 3 years of experience as Ops Manager/Assistant Manager.,manager
67,Admin Manager,"KC Global Talent Solutions, Inc.",Pasig,"PHP 45,000 - PHP 50,000 a month",Supervising the day-to-day operations of the Administration Section.,manager
68,Logistics Manager,WINNERBITES CORPORATION,Quezon City,"PHP 30,000 - PHP 40,000 a month","Strategically plan and manage logistics, warehouse, transportation and customer services.",manager
69,Management Trainee (Fresh Graduate),Fiberhome Phils Inc.,Makati,,Collaborating with managers to plan the work output for the organization.,manager
70,Sales and Operations Manager,Icon Executive Asia,Taguig,"PHP 70,000 - PHP 100,000 a month",Measuring the efficiency of an organization’s operational processes and taking steps to improve them.,manager
71,Coffee Shop Manager,New Hatchin Trading Corp,Makati,"PHP 25,000 - PHP 27,000 a month",At least 2 year experience in Managing a Coffee Shop.,manager
72,RESTAURANT MANAGER,Popeyes Louisiana Kitchen Inc.,"Quezon City
+1 location","PHP 30,000 - PHP 35,000 a month",Proven customer service experience as a manager.,manager
73,Management Trainee,AIA Philipines,Remote in Manila,"PHP 50,000 - PHP 100,000 a month",Requirements: College graduate of a 4 year course or with at least 2 years work experience.,manager
74,Restaurant Manager,Grillrich Infinity Inc. (Mang Inasal),Quezon City,"PHP 25,000 a month","Candidate must possess a Bachelor’s Degree in Hotel and Restaurant Management, Business Management or equivalent.",manager
75,Customer Service Senior Operations Manager,Wells Fargo,Manila,,"Collaborate and consult with more experienced management, internal partners, relationship managers, and colleagues to ensure customer satisfaction.",manager
76,Operations Lead,Janio Asia,Remote in Manila,"PHP 82,000 a month","Gearing up for the next growth stage, Janio is looking for Operations Lead who will be responsible for overseeing operations and customer support for the…",manager
77,Workplace Facility Manager (Bangkok Based),Agoda,Manila,,This position is open to both local and international candidates with relocation support available for eligible candidates to help ensure the smooth transition…,manager
78,Team Lead - CSNA,PayPal,Muntinlupa,,The Team Leader drives world-class customer experience results through high impact coaching and development of their teammates.,manager
79,STORE MANAGER,Bo's Coffee,Mandaluyong,"PHP 30,000 - PHP 40,000 a month","Store Manager is responsible for overseeing all the day-to-day operations of the store, leading to the attainment and exceeding of sales targets.",manager
80,Customer Success Manager,"HelloConnect, Inc.",Temporarily Remote in Taguig,"PHP 60,000 - PHP 70,000 a month",You will play a crucial role in optimising how our growing clients base's customer service teams are on-boarded and operationally managed to ensure each client…,manager
81,Outbound B2B Telemarketer,Inform Group,"Manila
+1 location","PHP 35,000 - PHP 60,000 a month",This is a highly target-driven position with a competitive bonus structure.,manager
82,Operations Manager,FTI,Makati,"PHP 30,000 - PHP 40,000 a month",Bachelor’s degree in operations management or related field.,manager
83,STATION MANAGER,JG Group of Companies,Pasig,"PHP 25,000 - PHP 40,000 a month","Must have at least 3 years of experience as a supervisor/manager in a retail or similar industry (gas station, etc).",manager
84,Operations Manager,Alangkaar Pte Ltd,Remote in Quezon City,"PHP 25,615 - PHP 85,000 a month",We are a wedding and events planning company based in Singapore.,manager
85,Loan Customer Service Manager,Yoki group of Companies,Makati,"PHP 50,000 - PHP 100,000 a month","Build, hire and train customer service team from 0 to n.",manager
86,Lazada Shoppe Operation manager,MSM-HK TELECOM TECHNOLOGY,Manila,,"According to the characteristics and customer conditions of B2B and B2C e-commerce platforms such as shopee and lazada, establish standard business processes…",manager
87,Operations and Banquets Manager,Marquis Events Place,Fort Bonifacio,"PHP 30,000 - PHP 40,000 a month",Provides functional assistance and direction to managers and supervisors in all matters pertaining to operations and customer experience at the Marquis.,manager
88,Training and Quality Manager,"HelloConnect, Inc.",Taguig,"PHP 55,000 - PHP 60,000 a month",Partner with Customer Success Manager and Team Leaders in developing and delivering learning solutions that meet business needs in order to win the business and…,manager
89,Office Manager (VA),"MVP Asia Pacific, Inc.",Remote in Manila,"PHP 45,000 a month",This role is responsible for driving operational efficiencies within the Ensure Group and ensuring each business unit is compliant with all business operating…,manager
90,Customer Service & Logistics Manager,Colgate-Palmolive,Taguig,,This position is responsible for providing Supply Chain leadership and collaboration with customers of the assigned Customer Development Team (CDT) to ensure…,manager
91,Operations Management Trainee,L'Oreal,"Pasig
+1 location",,Online Case Study Review.,manager
92,Customer Service Manager,Curated.com,Remote in Quezon City,PHP 150 - PHP 300 an hour,We are looking for an experienced Customer Happiness Supervisor who can independently manage special projects whilst overseeing customer service operations.,manager
93,REGIONAL OPERATIONS MANAGER - MANILA,Prieto Cargo Forwarders,Malate,,"Resolve problems concerning transportation, logistic systems, delivery and pick up schedules, or customer issues.",manager
94,Customer Service Manager,GrowthAssistant,Remote in Manila,"PHP 40,000 - PHP 50,000 a month",This teammate serves as the Subject Matter Expert (SME) in Customer Support to ensure that new brands are onboarding and operating correctly.,manager
95,Operations Manager,Digital Consulting PH,Makati,,Manages first-line supervisors that are responsible for managing the day-to-day operations of a team.,manager
96,Operations Manager,Nearsol Philippines Incorporation,Pasig,,"Provide specific guidance to managers, employees and other staff to ensure that the focus is correct and the work is accomplished on time, within budget and…",manager
97,Operations Manager,"CloudEats, Inc.",Taguig,,"Interview, hire, train and manager new supervisors and managers.",manager
98,Assistant Manager for Operations,"Online Loans Pilipinas Financing, Inc.",Mandaluyong,"PHP 40,000 a month",Acts as the overall in-charge of operations when Head of Operations is not around.,manager
99,Customer Service Operations Manager,PH Security Bank,Makati,,"As a Customer Service Operations Manager, you will develop and drive objectives for the contact center operations and service delivery model.",manager
100,Administration Section Manager,"JFE Techno Manila, Inc.",Pasig,,Supervising the day-to-day operations of the Administration Section.,manager
101,Front Office Duty Manager,Golden Pyramid Management Solutions Inc.,Makati,"PHP 30,000 - PHP 50,000 a month",3 years of previous front office duty manager experience is preferred.,manager
102,FACILITIES MANAGER (MANILA HEAD OFFICE),PUREGOLD PRICE CLUB INC.,Manila,,"Successful candidates will be in charge in overall management of the engineering projects (electrical, mechanical, and physical facility structures) across…",manager
103,Manager of Support Operations,Onyx CenterSource,Makati,,"Planning, directing, and overseeing the operations of the assigned Support Operations team.",manager
104,Assistant Manager,"BEHOLD TRADING INTERNATIONAL, INC","Makati
+1 location","PHP 60,000 - PHP 80,000 a month","Primary responsible for the overall management assigned to him/her in terms of its personnel, administration and finance.",manager
105,Retail Operations Manager,Complex Lifestyle Store,Manila,,Accountable for the efficient daily operations and attainment of sales quota of the brand nationwide with close coordination with the Brand and other Retail…,manager
106,Facilities Services Manager,Willis Towers Watson,Manila,,"This role will support the Facilities Services Head in managing the overall services of FS - to manage the soft, hard, cross-functional pillars.",manager
107,Reservations Manager,Amorita Resort,Taguig,"PHP 30,000 - PHP 39,000 a month",Manage the Reservations team & all rooms’ reservations processes for the hotel.,manager
108,Retail Operations Manager,No Fear Philippines,Pasig,,Accountable for the efficient daily operations and attainment of sales quota of the brand nationwide with close coordination with the Brand and other Retail…,manager
109,Operations Manager,VGW,Manila,,"The *Operations Manager* is responsible for the Payments, Trust & Safety (PTS) Teams' day-to-day operations and ensures that the service levels are within…",manager
110,Customer Manager,Nestlé,Makati,,Make Nestle a business partner of choice by: (1) creating a customer business plan (2) practicing and modeling the Nestle way of selling and negotiation (3)…,manager
111,Operations Manager | North Caloocan,Innov Block Development Corporation,Caloocan,,Develop and oversee effective operating procedures across the company.,manager
112,Operations Manager (Logistics,lalamove,Manila,,We are looking for highly organized candidates with good quantitative ability for the position of Operations Manager.,manager
113,Logistics Head,Frabelle Food Group,Remote in Caloocan,"PHP 40,000 a month",Understand clients shipping requirements and patterns.,manager
114,Logistics Manager,Gushcloud International,Remote in Taguig,"PHP 50,000 - PHP 60,000 a month",Analyze and monitor KPIs and operation performance.,manager
115,Operations Manager - Nonprofit Organization,Booth and Partners,Temporarily Remote in Makati,"PHP 50,000 - PHP 70,000 a month",The role is mainly responsible for *overseeing the creation and publication of new content for the* *Tayo platform*.,manager
116,General Manager,"Hospitality Innovators, Inc.",Remote in Makati,,"As General Manager, you will oversee the day-to-day operations of the hotel and be overall responsible in accomplishing set performance objectives by driving…",manager
117,Sales Operations Manager,"Pascal Resources Energy, Inc.",Makati,"PHP 50,000 - PHP 60,000 a month",Candidate must possess at least Bachelor's/College Degree – *BUSINESS MANAGEMENT or HOTEL AND RESTAURANT MANAGEMENT *.,manager
118,Customer Success Manager,"Deltek, Inc.",Makati,,"Telephone and computer sales management of existing customers for a specific territory, with emphasis on total customer coverage, customer retention, and team…",manager
119,Operations Associate Manager,Wells Fargo,Manila,,Collaborate and influence all levels of professionals including senior managers.,manager
120,Administration Lead,ACE Hospitality,Makati,"PHP 25,000 a month","Executes and coordinates activities between the accounting and legal departments and the company's various stakeholders, working closely with the company's…",manager
121,Customer Success Manager,Glue Up,Makati,,"The ideal candidate should have experience in the Customer Success field, excellent communication skills, strong coordination ability, a sharp analytical sense,…",manager
122,Lead Customer Service Representative,Wells Fargo,Manila,,"Duties may include: communicating with other departments, managers or vendors to resolve customer issues; team lead responsibilities including providing…",manager
123,Associate Program Manager,Uber,Remote in Taguig,,Transition and Migrations Manager (L3 CommOps Manager).,manager
124,Retail Operations Manager,MERRELL,"Pasig
+1 location",,Accountable for the efficient daily operations and attainment of sales quota of the brand nationwide with close coordination with the Brand and other Retail…,manager
125,RETAIL OPERATIONS MANAGER,Realme Philippines,Taguig,,. Develop and analyze the sales of our CKE (with or without promoters).,manager
126,Customer Service Manager,Pay Perform Ltd.,Remote in Makati,,"Minimum 2 years experience as a manager, 5+ years experience in a similar role.",manager
127,Customer Success Manager,GrowthAssistant,Remote in Manila,,Experience with training and developing both individual contributor and manager-level employees.,manager
128,Office Manager,Emma The Sleep Company,Manila,,You will build our office policies and evaluate existing procedures.,manager
129,Crewing Manager,"Seafair PH, Inc",Temporarily Remote in Pasay,,"Build Seafair’s relationship with seafarers and manage all seafarer communications incl. phone calls, emails, chat/text.",manager
130,Operations Manager (Non Tech),Lexie Staffing & Business Consulting,Taguig,,Managing client relationship – ensures high level of client satisfaction.,manager
131,Assistant Manager Operations,"BISAM, a FactSet Company",Manila,,Supervise and manage the hiring process and recruiting efforts to ensure that hiring protocols are followed and qualified personnel are hired and retained.,manager
132,Assistant Inventory Manager,GLACIER MEGAFRIDGE,Parañaque,"PHP 35,000 - PHP 40,000 a month",The Assistant Inventory Manager is responsible for managing the overall activities of the Inventory Team to ensure the integrity and accuracy of inventory.,manager
133,Office Manager,hammerjack,Remote in Makati,,· Handling a volume of customer queries whilst providing a high quality of service to each caller.,manager
134,Area Manager,"Cleanfuel Autogas Inc.,",Manila,"PHP 20,000 a month","Plans and secure executions of programs on service and cleanliness quality standards, achievement of sales forecasts and profitability of all stations under…",manager
135,DUTY MANAGER - FRONT OFFICE,Grand Hyatt Manila,Manila,,S/he will assist the Front Office Manager in leading and managing all sections of the Front Office Department in delivering exceptional front line service to…,manager
136,Delivery Manager (RPO),IBM,Quezon City,,To think along with clients and sell.,manager
137,Management Trainee,F2 Logistics,Manila,,"Candidates must possess at least a Bachelor’s/College Degree in Engineering, Business Administration, Logistics/Transportation and Supply Chain Management or…",manager
138,Operations Director,Nearsol Philippines Incorporation,Pasig,,Overseeing all operational activities for the organization.,manager
139,Store Manager,Aerofone SM Manila,Manila,"PHP 19,500 a month","Directing all operational aspects including distribution operations, customer service, human resources, administration and sales of the branch.",manager
140,Management Trainee,"Right Goods Philippines, Inc.",Pasig,"PHP 20,000 a month",Completing all assigned tasks and assisting with day-to-day operations.,manager
141,Food Court Manager,SM SUPERMALLS,Taguig,,"The Food Court Manager shall manage, oversee and control the operations of the entire Food Court branch in the areas of daily operations, sales, tenant and…",manager
142,AREA MANAGER – SOUTH GMA,Q.C. Styropacking Corp.,Las Piñas,,Bachelor's Degree Graduate on any related course.,manager
143,Brand Manager for Online Gaming Company,JK Network Services,Pasig,"PHP 80,000 - PHP 100,000 a month",✅ Paid sick leaves and vacation leaves.,manager
144,Customer Success Lead,Eezee.sg,Remote in Makati,,Facilitate regular 1 on 1’s and team meetings.,manager
145,International Business Development Manager- Philippines,Reynolds Consumer Products,Manila,,As a Business Development Manager-Philippines you will be responsible for delivering annual commercial plans while setting the long-term strategic direction and…,manager
146,Creative Operations Manager,MRM // McCann,Temporarily Remote in Taguig,,Reports to*: Creative Operations Director.,manager
147,"Manager, Onboarding Operations - APAC",Remote,Remote in Manila,,"In this role, you'll manage a high volume, high impact, regional Onboarding Operations team, that is customer-facing and directly responsible for the onboarding…",manager
148,Credit and Collections Manager,Abbott Laboratories,Taguig,,Provides day to day leadership of the credit and Collections functions in Manila.,manager
149,Duty Manager,"Marriott International, Inc",Manila,,"Report accidents, injuries, and unsafe work conditions to manager; complete safety training and certifications.",manager
150,Vendor Manager,Uber,Taguig,,"The Vendor/Program Manager will report to the Program Leader, Vendor Manager and own the relationship with the BPO site(s), the performance management and…",manager
151,Office Manager,Kuehne+Nagel,Pasay,,The Office Manager will be responsible for the general operation of the office.,manager
152,Office Manager - Philippines,GetCraft,Taguig,,"Lead new employee onboarding including preparation of employment contracts, set-up of work tools and completing of HR requirements.",manager
153,DUTY MANAGER,Century Properties Management (CPMI),Manila,,"Graduate of Hotel, Tourism or Hospitality Management courses.",manager
154,DISTRIBUTOR MANAGER,BEVI,Makati,,Responsible for the overall Sales Target achievement in the assigned Territory by ensuring availability of BEVI products to our customers across all channels…,manager
155,IT Logistic Coordinator/Manager,Ssquad Global,Pasig,"PHP 60,000 a month",Logistics Coordinator/Manager *to oversee and facilitate the supply chain operations of our company.,manager
156,OFFICE STAFF FOR MANILA HEAD OFFICE,PUREGOLD PRICE CLUB INC.,Manila,,Successful applicants will be assigned to various back office departments and assist officers and managers in daily clerical and administrative tasks.,manager
157,Office Manager,Katalyst.ph,Makati,,Assists the HR manager in recruiting staff and perform other HR-related tasks.,manager
158,Front Desk Manager,Richmonde Hotels,Ortigas,,Must possess a Bachelor’s degree in Hospitality Management or any related course.,manager
159,"Manager, Membership (Loyalty Program)",Adidas,Manila,,Success will rely on cross-functionally leading membership topics and establishing the interaction model with the various teams in SEA and APAC to ensure that…,manager
160,Operations Manager,CITISTORES INC.,Pasig,,"Bachelor's/College Degree, Business Studies, Administration / Management.",manager
161,Country Manager - 300K,weSource Management Consultancy Firm,Remote in Taguig,,This person has to come with a very strong Sales and Marketing background since the business is about 90% on this area as well an experience managing teams…,manager
162,Logistics Manager,Inteluck Corporation,Makati,,Candidate must possess at least Bachelor’s/College Degree in Logistic/Transportation or equivalent.,manager
163,LOGISTICS AND INVENTORY MANAGER,"CASTLE POWER SOLUTIONS PHILIPPINES, INC.","Manila
+1 location","PHP 35,000 - PHP 45,000 a month",Castle Power is looking for an experienced Logistics and Inventory Manager to join our Team.,manager
164,Client Success Associate Manager,Bolton International,Taguig,"PHP 55,000 - PHP 70,000 a month","We are looking for a super talented, customer obsessed go-getter to act as the bridge between many internal functions (such as RevOps, Account Management, Sales…",manager
165,Head of Gaming Operations,Mineski Global,San Juan,"PHP 50,000 a month",Help pro eSports teams and their managers understand our approach .,manager
166,Retail Operations Manager,RePhil Station Inc,Pasig,,Retail Operations Manager ( Gasoline Stations Operations Manager) is responsible in overseeing the overall station operations.,manager
167,NBA Store PH - Store Manager,Titan,Taguig,,"The Store Manager effectively manages store operations, organization and environment to meet or exceed sales, profitability, brand experience, operational goals…",manager
168,Team Lead / Manager for Workforce / Training / Operations,WNS Philippines,"Muntinlupa
+1 location",,"WNS Philippines - Established in 2008, WNS Philippines has been delivering the full spectrum of BPM services – in customer interaction services, finance and…",manager
169,Administration Section Manager,eTeam Inc,Temporarily Remote in Pasig,"PHP 40,000 - PHP 60,000 a month",Supervising the day-to-day operations of the administration Section.,manager
170,Operations Manager,OutForce BPO,Pasig,,"Someone who has strong leadership experience and can lead Data Entry, CRM admin employees.",manager
171,Clinic Operations Manager,First Order Medical,Mandaluyong,"PHP 60,000 - PHP 70,000 a month",Liaise with superior to make decisions for Clinic operational activities and set strategic goals.,manager
172,Operations Manager,GORIDE INTERNATIONAL INC,Quezon City,,At least 2 to 5 years experience as an Operation Manager Or 1 Year As Senior Operation Manager Role Managing A Span Of Min 40-50 Full-Time Employees.,manager
173,"Operations Manager I, RIS",Principal Global Services (Philippines) LLC,Remote in Taguig,,Manages ongoing processing efforts and is accountable to manager for unit budget.,manager
174,Warehouse Section Manager,Luxclusif,Remote in Manila,,The Operations Team is responsible for managing Luxclusif’s end-to-end product journey.,manager
