,Title,Company,Location,Salary,Job Url,Snippet
15,Business Development Manager,Counto,Remote in Manila,"PHP 25,836 - PHP 83,799 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgfeMpCfjMRHg9wf4MU_CUZ8PltGwJ7MWtOKTRxg21RcHDxUtP8i-NDob09rvzhKdS7v-_hDJST-kuXCmR1gX1EuV1sAVfHsxpPPVwyLlw5pgosHzoZKkICrjZ-MJIJYIz8GQI67y_nWO5b7FF_NJesg1_rG2jsweWZsjIP0gkAbMFGWbWOs6fsZDFqD1YqJJCQreih_PI0IPYFrEB2TIap200-CrnvA-WwXXO86GXclMPL2CsZcAMe2dOXlz-UDnOL_OfBEawfAYyYSWu1-v_33G2T-3aEIfagx02gD8M9XtYPqJqT4gbW0=&p=0&fvj=1&vjs=3,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.
16,Assistant Restaurant Manager,Happyfoods Group of Restaurants,Manila,"PHP 29,000 - PHP 31,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CtUjbthcZxg60AMrAtPJ9ucT455WeVisfWwHj3wlcAtzptAbnU_cby0V3Xm2l31e1hCQdFAvXoMTe3F5OoldbZveJqrbeZBhHyIVmmY4k9MXqdCf0Ho16xl3E_iQaycueIE8z5mtvw2OSWLQT5fz5XOCiTgyiwX3OFmv-TBtobq_HUO9VUgK8VswpuNePwlCypYABE3AdrkyRGxNiJlfO9YthNEbCbb51wY_PO1QFNLISd5fyL0fZnP14SmQ7uJe_Rrr5Z-LcFaY2nS3gOaaIpBumY24u18vidtoV45F2RBZpfHDHJYedHc1yFGGPNkyTdFVuAV-FkLCzbb0MYxLWS2BM5kgpWHFr1h1j0ku78cOuotPsop2VpgwNHgv20aOHb8jfq3AMqw9JWQsYwUceGxMkV4_PJOPNNl9Pp9rf0xoaaBaT-EhncMP8bN4b0xu9F6UZhWSPF18KMVWiCF-zbnRgpiE1EGKg=&p=1&fvj=1&vjs=3,"Candidate must possess at least Bachelor's/College Degree in Hotel & Restaurant Management, Tourism, Business Studies/Administration/Management, Food & Beverage…"
17,Restaurant Manager,Bornga Korean Restaurant,Makati,"PHP 20,000 - PHP 35,000 a month",https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,To follow company instructions and policy and maintain the good standard of quality of service and products;
18,Assistant Restaurant Manager,Popeyes Philippines,Quezon City,"PHP 25,000 - PHP 28,000 a month",https://ph.indeed.com/company/Popeyes-Philippines/jobs/Assistant-Restaurant-Manager-c90487cd156512a8?fccid=4da358b339819494&vjs=3,The Assistant Restaurant Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc.…
19,Food and Beverage Manager,Golden Pyramid Management Solutions Inc.,Makati,"PHP 25,000 - PHP 50,000 a month","https://ph.indeed.com/company/GOLDEN-PYRAMID-SKILLS-DEVELOPMENT-AND-MANPOWER-RESOURCES,-INC./jobs/Food-Beverage-Manager-e3252ef49e92eb10?fccid=7d4f76893d11c2e1&vjs=3","Hire, train and manage, supervise, develop, discipline and counsel all food and beverage management team members according to company policies and procedures."
20,"Manager, Facilities Management",AirAsia,Manila,,https://ph.indeed.com/rc/clk?jk=c29a934965c14b43&fccid=350f4541eb63ccf6&vjs=3,"Ensures the workplace is comfortable, a system in good condition and functional."
21,Human Resources Manager,GrowthAssistant,Remote in Manila,"PHP 50,000 - PHP 80,000 a month",https://ph.indeed.com/company/GrowthAssistant/jobs/Human-Resource-Manager-0312f9feb3ccda3d?fccid=bc27547eac27f7b0&vjs=3,"This position is hand-on and will build and oversee the Human Resources function, owning the end-to-end GrowthAssistant (GA) and internal team member experience…"
22,Restaurant Manager,Mary Grace Foods Inc,"Quezon City
+4 locations","PHP 25,000 a month",https://ph.indeed.com/company/Mary-Grace-Foods/jobs/Restaurant-Manager-09020f84811af60e?fccid=052e71e3355566d2&vjs=3,Proven customer service experience as a manager.
23,Warehouse Manager,Gramans Group of Companies,Muntinlupa,"PHP 25,000 - PHP 40,000 a month",https://ph.indeed.com/company/FiberHome-Philippines/jobs/Warehouse-Manager-75915a805b368871?fccid=5a3bf32a525443eb&vjs=3,Oversees the day-to-day operation of the Warehousing and Distribution business of the company.
24,14 - Project Manager (Homebased),Support Shepherd,Remote in Manila,"PHP 50,000 - PHP 85,000 a month",https://ph.indeed.com/company/Support-Shepherd/jobs/-136157b49e42063c?fccid=28382f241cf295a3&vjs=3,Set up a Video meeting with clients.
25,Shift Manager (Cardinal Santos),Seattle's Best Coffee,San Juan,,https://ph.indeed.com/company/Seattle's-Best-Coffee/jobs/Shift-Manager-79000dddfa95873c?fccid=b9ea9d30b482d65a&vjs=3,At least 1-5 years as a manager in the Food & Beverage (F&B) industry especially Coffee Industry.
26,AREA SALES MANAGER - GMA MODERN TRADE,Ideal Macaroni & Spaghetti Factory Inc.,Malabon,"PHP 40,000 - PHP 50,000 a month",https://ph.indeed.com/company/Ideal-Macaroni-&-Spaghetti-Factory-Inc./jobs/Area-Sales-Manager-df631cbae47775b0?fccid=cd7229685e481916&vjs=3,Ensure achievement of agreed KPI's for the assigned Area/ Territory - Ensure optimization of the business potential in the assigned territory by identifying…
27,Operations Manager,eTeam Inc,Remote in Makati,"PHP 55,000 - PHP 80,000 a month",https://ph.indeed.com/company/GH-Premier-Review-Center/jobs/Operation-Manager-09432db69d11132b?fccid=48ccac621479d5c3&vjs=3,Responsible for managing Engagement Coaches that are responsible for the daily operations of an engagement center.
28,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"PHP 60,000 - PHP 70,000 a month",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…"
29,Customer Experience Manager,Everise,Remote in Taguig,"PHP 80,000 - PHP 100,000 a month",https://ph.indeed.com/company/Hyperlab-Japan/jobs/Customer-Experience-Manager-72b03ba3f3c695be?fccid=1d6d9add82b8ebde&vjs=3,The Manager - Quality Assurance is responsible for the daily supervision and management of a team of Quality Assurance Representatives (QAR).
30,Operations Manager | Libis,WNS Global Services Philippines Inc.,Quezon City,"PHP 70,000 - PHP 80,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPFhcsPXlFejACOKZ4qG22IOGkxpSeZ7ZGhf2jSoPVfFauy4EaUf2cYkKdivvkamYiaZfd8SA0jRvvx83FZHDkvB-mriIN0unXsu0Ur2YTV4hVb8JXy2CPqPxL4Dc1p9AmWEP10w4EBeIDrHfX9n8WxZPEkgm6OBkxAexe0-MyHJytiJmSloI1stvKxPK0G3L-SX7TZlItaYOeSzeXFGdYA4XvFbidJVvYtLbcF1P9B_Zv0MqvLPGS7ZUpFJYnVllIEL5kkQjspv1yDeYHYcUByiUUCipll2XaPTHdY3E1MVB_5deODzicNx3nLHyD9eSvXBYonH-ByJK6UzjQ2MMo2bbIXyo6KG_b_RYdj_IeJZdRo09ubOHHNYrxbUR0TaaJ-oxQJBlvb3k9ZAyiqfE9d_BhklFrGWw=&p=0&fvj=1&vjs=3,Leads Operations to ensure customer satisfaction.
31,Team Leader - Operations | Alabang / Libis,WNS Global Services Philippines Inc.,"Muntinlupa
+1 location","PHP 40,000 - PHP 50,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DPFhcsPXlFejACOKZ4qG22IOGkxpSeZ7ZGhf2jSoPVfFauy4EaUf2cYkKdivvkamYiaZfd8SA0jUmgdI94fVN3FoYH6gbNexFBCRDhtRuRymN72lg0YEJJ6v3VWIvBJmrNM2VpBKlG1IoL_Dzl6M8rADk3bIy4OjGgLaDW_k41yUKVZccw15Lykc_7OG43EYHL9DVhmB-wIq-xNp5KhFPNCM9ODVQNmCGsobhJSnRC29WJY7yPgCR99I8ovbAfzK4v1_SmVP_jxHt8pxTgTcDquCxgwVuQ8ne4Irhhrs3rRYpsl2_jfLHjyMEZOu3zut9AnMchO2a1QusG63tlzy1dLaYEg-iLUFSL_DOoltGFfWmuQG-_UpXFAaM85n8xGWNz6Hf9xFDU5JHhbictXkEg2MgskUU_zek=&p=1&fvj=1&vjs=3,"This position requires having team handling skills, coaching skills and managing customer escalation."
32,Warehouse Manager,Styleright Global Corp,Quezon City,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOnbz8mBdrRLsVtAj0QZIwA0bcf0SYfHF16JUtzO4d2crxYVsxNfMsQLO26yhV4NMM69u3qfqCIgOyLIGyb22OM37mXM9gN6uAuCbNXDiZFRPFwZym77oCXu_V4YfDOaxtzRsltRraF3U82g3sSE83xv29517KyEgGZmSzHupTdc9Zqi2w3YQZ_jP5YTnjUeJVzWFKBd3avqRxY7KpT8te239pBM7Yicq8GS-2FemTWB7iofNbdWcCHgj5X53O-OAfx-bl4Q1qOL0oCtb3fc8z_3wozsy0cIUIJfTXLtZC6vo&p=2&fvj=1&vjs=3,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs."
33,Sales Manager,Clark Outsourcing,Philippines,"PHP 40,000 - PHP 50,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AO-XGC24B4EQINFpiPMAoX7jSiISATfxDg-3Y_nbzYltKS0nb8znEv_CPzlMbtSa0zzssFNJbjejJQgp-JkEzJ5HhLZ9dS8z4eLp4C71boCSefvvIRqA-mzVIz-jcGr7HJSSeOWRAQ9ee8ghN4vqFU5meu92zn91XF2bzMjEfWBCR6qVlslJSGNHIdJ8a57v2mNor3JlzRMJGrDM82Xvg8YIj_wELUEkztuqpwvxt3eqM4Q3UNTV_0o_KycoIP7DovX2IVtlaZK7vi0PqvCN_7zUVR8HrQKY_e4Fm-boP9A1zvFk1yJ1rNeq7TD50A7Z0RQN8vOAwDKd4ZdCFkdc3ga6fMW8Ee9Y95cxIpwQCiObY4QMvj74RcS6koGxuclPk1sYf3vDwSE0aee-A7557tBneQPnslNNIDSl3GDhUgjTqWZck0wC2MAPO-04MJ7HrSmCBQ746vjA==&p=3&fvj=1&vjs=3,Ability to distribute leads to the sales team under little to no supervision by immediate manager/admin.
34,Business Development Manager,JINGDONG(JD.COM),Manila,"PHP 90,000 a month",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDFKSVTu9K_6qBe-cYT6XrY5URGvXL_-ts1AqW9NR5ZK4eeQmI36m9HoCf4Zj-In6lP4-qRbUpkh930rVbDvCUyYDmHxaOPKMfk8OmeVH1X7Yoq1o7J8x8BLGWaYQThYffM9im6_VoiowmwCnToxAGTznMlbhMaQG6G6ep8TvTyEEYHP2xUVsSERMP3wAp27_LNb_u1mQDPjwyPa8iXA4dU3iulOszszBsTh9QXMHO2zUF_N-O7jMzTgCdMAbeF_IAlfZNok4utlZbJkV8LGZeEu2AmS5LQe8RJZloSqJa0_W59FAg5z-mRMQFwmJo2qp-hKLDYnIKb2KIIoIgPVSs-sybqcFHn4DBVuaNC438uVqrH3F4Gcdkss0Pmu32HpD7b9_WUw4az-Vqt9JBYou3leDCzXwkx-Fb2-dUeoZPKaO3YdXsR_GrZPuDUVpY-xgCfo4rta3JDgDjwMrNqe8wtVBqokAPz-U=&p=4&fvj=1&vjs=3,"JD Philippines is currently looking for a Business Development Executive, based in Manila The candidate shall report to the Country Manager."
35,Building Manager,"Lamco Paper Products Co., Inc.",Taguig,"PHP 30,000 - PHP 40,000 a month","https://ph.indeed.com/company/Lamco-Paper-Products-Co.,-Inc./jobs/Building-Manager-edadc7477cf6177f?fccid=99c6b0a2e9f012bb&vjs=3",Be a university/college graduate;
36,STORE MANAGER for AYALA MALLS VERTIS NORTH PHASE 2,Watsons Personal Care Store (Phils.) Inc.,Quezon City,"PHP 28,000 a month",https://ph.indeed.com/company/Watsons-Personal-Care-Store-(Phils.)-Inc./jobs/Store-Manager-Ayala-Mall-Vertis-North-Phase-a761065afcb67522?fccid=b3e71455201df0d4&vjs=3,"Our *Store Manager* is responsible for planning, leading and managing all day-to-day activities of the store both health & beauty."
37,Team Manager (For a Travel Program - with GDS experience),Enshored Inc.,Remote in Pasig,"PHP 55,000 - PHP 60,000 a month",https://ph.indeed.com/company/Enshored-Inc./jobs/Team-Manager-9250031f398ab519?fccid=0d1db9b2734fa13e&vjs=3,Enshored is seeking an outstanding Team Captain for the Travel program who will be a role model to his/her direct reports.
38,Store Manager,Adidas,Manila,,https://ph.indeed.com/rc/clk?jk=6a8c98ab3be01213&fccid=8686937f641f561b&vjs=3,Drives store profitability by meeting or exceeding sales targets and controlling operational expenses; managing all resources within the store to provide…
39,OPERATION MANAGER,1016 Formula Petroleum Corporation,Manila,"PHP 30,000 - PHP 40,000 a month",https://ph.indeed.com/company/1016-Formula-Petroleum-Corporation/jobs/Operation-Manager-ce0178df1c067f8d?fccid=8697cf4b6da9d2b3&vjs=3,Responsible for supervising the distribution processes and overseeing the supply chain management to ensure that the deliveries are done timely and accurately.
40,Area Manager,Fruitas Holdings Inc,Quezon City,,https://ph.indeed.com/company/Fruitas-Holdings-Inc./jobs/Area-Manager-26ecb8e3a263f959?fccid=b8f071bd5961ea7d&vjs=3,Lead a team of store managers towards effective collaboration and attainment of goals.
41,Duty Airport Manager Manila,Qantas Airways Limited,Manila,,https://ph.indeed.com/rc/clk?jk=719cf9381a7d1967&fccid=324609cba1d1a5ac&vjs=3,Together we’ll achieve goals and objectives.
